Number,Team,Score,Points,W,L,Pct,SoS,Weighted,Conf,Div,AvgMoV,YF,YA,TO Margin,YPPO,YPPD
1,USC,37.8835,1.0000,1,0,1.0000,0.5000,0.6667,Pac-12,South,23,416,376,-1,5.9429,5.7846
2,Alabama,37.7528,0.9966,1,0,1.0000,0.0000,0.3333,SEC,West,31,501,266,-2,6.5065,4.2222
3,Ohio State,36.6352,0.9670,1,0,1.0000,0.0000,0.3333,Big 10,East,14,495,408,-1,10.3125,5.4400
4,San Jose State,36.4932,0.9633,1,1,0.5000,1.0000,0.8333,MWC,West,4,459.5,333,1.5,7.7881,5.0455
5,Cincinnati,35.2222,0.9298,1,0,1.0000,0.0000,0.3333,AAC,East,35,542,278,3,9.5088,3.8082
6,Brigham Young,34.9458,0.9225,1,0,1.0000,0.0000,0.3333,Indep, ,8,368,426,-1,5.8413,5.1325
7,Texas A&M,34.8436,0.9198,1,0,1.0000,0.0000,0.3333,SEC,West,31,597,336,3,7.9600,4.4800
8,Oklahoma,34.7310,0.9168,1,0,1.0000,0.0000,0.3333,Big 12, ,5,436,464,-1,6.0556,7.3651
9,Georgia,34.1850,0.9024,1,0,1.0000,0.0000,0.3333,SEC,East,7,256,180,1,4.1967,3.0000
10,Notre Dame,34.0942,0.9000,1,0,1.0000,0.0000,0.3333,Indep, ,3,431,442,-2,6.1571,5.9730
11,Texas,33.5548,0.8857,1,0,1.0000,0.0000,0.3333,Big 12, ,20,435,358,0,6.3971,5.1884
12,UTSA,33.1649,0.8754,1,0,1.0000,0.5000,0.5556,CUSA,West,7,497,412,0,6.0610,5.2821
13,Oregon,32.7963,0.8657,1,0,1.0000,0.5000,0.4444,Pac-12,North,7,358,373,-2,4.9041,5.1096
14,Army,32.7253,0.8638,1,0,1.0000,0.0000,0.3333,Indep, ,33,356,177,-2,5.0141,3.6875
15,Iowa,32.6503,0.8619,1,0,1.0000,0.0000,0.3333,Big 10,West,28,303,233,-1,4.7344,3.6406
16,Florida,32.5408,0.8590,1,0,1.0000,0.0000,0.3333,SEC,East,21,553,353,0,6.8272,5.0429
17,UCLA,32.3683,0.8544,2,0,1.0000,0.3333,0.5556,Pac-12,South,22.5,437.5,324,-1,7.0565,4.4690
18,Nevada,32.0192,0.8452,1,0,1.0000,0.0000,0.3333,MWC,West,5,373,330,0,5.7385,5.0769
19,Appalachian State,31.9960,0.8446,1,0,1.0000,0.0000,0.3333,Sun Belt,East,14,485,381,-1,7.6984,5.9531
20,North Carolina State,31.9548,0.8435,1,0,1.0000,0.0000,0.3333,ACC,Atlantic,45,525,271,-2,7.9545,4.1692
21,Marshall,31.6892,0.8365,1,0,1.0000,0.0000,0.3333,CUSA,East,42,464,398,1,7.3651,4.3736
22,Auburn,31.5813,0.8336,1,0,1.0000,0.0000,0.3333,SEC,West,50,613,212,0,10.3898,3.4194
23,Hawaii,31.0557,0.8198,1,1,0.5000,1.0000,0.7778,MWC,West,-10,421,434.5,1,5.7279,6.2518
24,Pittsburgh,30.9566,0.8172,1,0,1.0000,0.0000,0.3333,ACC,Coastal,44,597,209,1,6.9419,3.6034
25,Central Florida,30.9031,0.8157,1,0,1.0000,0.0000,0.3333,AAC,East,5,573,283,1,6.7412,4.3538
26,San Diego State,30.4225,0.8031,1,0,1.0000,0.0000,0.3333,MWC,West,18,363,374,0,5.8548,4.5610
27,Virginia Tech,30.1388,0.7956,1,0,1.0000,0.0000,0.3333,ACC,Coastal,7,296,354,-1,4.7742,5.6190
28,Wake Forest,29.7803,0.7861,1,0,1.0000,0.0000,0.3333,ACC,Atlantic,32,359,272,-1,5.2029,3.5325
29,Missouri,29.7680,0.7858,1,0,1.0000,0.0000,0.3333,SEC,East,10,468,475,-2,6.8824,5.5233
30,Kentucky,29.6888,0.7837,1,0,1.0000,0.0000,0.3333,SEC,East,35,564,88,3,8.5455,1.4194
31,Clemson,29.6389,0.7824,0,1,0.0000,1.0000,0.6667,ACC,Atlantic,-7,180,256,-1,3.0000,4.1967
